Vgen (V);V (V);Errore (V);I (mA);Errore (mA);R=V/I (Î©);P=VI (W)
0.0;0.0000;0.0000;0.000;0.000;0;0.00
0.5;0.4060;0.0009;4.929;0.007; 0.082 ;2.00
1.0;0.8996;0.0014;7.433;0.009; 0.121 ;6.69
1.5;1.385;0.006;9.240;0.010; 0.150 ;12.80
2.0;1.806;0.007;10.72;0.10; 0.168 ;19.36
2.5;2.308;0.007;12.35;0.11; 0.187 ;28.50
3.0;2.780;0.008;13.73;0.12; 0.202 ;38.17
3.5;3.271;0.008;15.06;0.13; 0.217 ;49.26
4.0;3.750;0.009;16.36;0.13; 0.229 ;61.35
4.5;4.280;0.009;17.65;0.14; 0.242 ;75.54
5.0;4.702;0.010;18.64;0.14; 0.252 ;87.65
5.5;5.176;0.010;19.69;0.15; 0.263 ;101.92
6.0;5.733;0.011;20.92;0.15; 0.274 ;119.93
6.5;6.227;0.011;21.95;0.16; 0.284 ;136.68
7.0;6.743;0.012;22.96;0.16; 0.294 ;154.82
7.5;7.205;0.012;23.85;0.17; 0.302 ;171.84
8.0;7.720;0.013;24.77;0.17; 0.312 ;191.22
8.5;8.212;0.013;25.69;0.18; 0.320 ;210.97
9.0;8.702;0.014;26.58;0.18; 0.327 ;231.30
9.5;9.190;0.014;27.45;0.19; 0.335 ;252.27
10.0;9.684;0.015;28.30;0.19; 0.342 ;274.06
10.5;10.12;0.06;29.08;0.20; 0.348 ;294.29
11.0;10.58;0.06;29.86;0.20; 0.354 ;315.92
11.5;11.15;0.06;30.80;0.20; 0.362 ;343.42
12.0;11.56;0.06;31.45;0.21; 0.368 ;363.56