Vin;f;V_PASS;Vin_err;f_err;V_P_err;Vo/Vi_P;V_CUT;V_C_err;Vo/Vi_CUT;Scale V/div;;;;;
18.2;10000;16.1;1;2;0.01;0.884615385;2.7;0.1;0.148351648;"5-0.5";;;;;
18.2;10010;15.9;1;2.002;0.01;0.873626374;2.72;0.1;0.149450549;"5-0.5";;;;;
18.3;10200;15.8;1;2.04;0.01;0.863387978;3;0.1;0.163934426;"5-0.5";;;;;
18.3;10300;15.8;1;2.06;0.01;0.863387978;3.2;0.1;0.174863388;"5-0.5";;;;;
18.3;10400;15.8;1;2.08;0.01;0.863387978;3.4;0.1;0.18579235;"5-0.5";;;;;
18.2;10500;15.6;1;2.1;0.01;0.857142857;3.58;0.1;0.196703297;"5-0.5";;;;;
18.4;10600;15.8;1;2.12;0.01;0.858695652;3.82;0.1;0.207608696;"5-0.5";;;;;
18.4;10700;15.6;1;2.14;0.02;0.847826087;4.16;0.2;0.226086957;"5-1";;;;;
18.6;10800;15.4;1;2.16;0.02;0.827956989;4.36;0.2;0.234408602;"5-1";;;;;
18.4;11000;15.4;1;2.2;0.02;0.836956522;4.84;0.2;0.263043478;"5-1";;;;;
18.6;12000;14.9;1;2.4;0.02;0.801075269;7.1;0.2;0.38172043;"5-1";;;;;
19.6;17000;11.5;1;3.4;0.04;0.586734694;13.8;0.4;0.704081633;"5-2";;;;;
20;22000;9.2;1;4.4;0.1;0.46;16.8;1;0.84;"5-5";;;;;
20.4;40000;5.4;1;8;0.1;0.264705882;19.3;1;0.946078431;"5-5";;;;;
20.4;100000;2.8;1;20;0.1;0.137254902;20;1;0.980392157;"5-5";;;;;
18.2;9990;15.9;1;1.998;0.01;0.873626374;2.68;0.1;0.147252747;"5-0.5";;;;;
18;9800;15.9;1;1.96;0.012;0.883333333;2.46;0.12;0.136666667;"5-0.5";;;;;
18.1;9700;15.8;1;1.94;0.014;0.872928177;2.63;0.14;0.145303867;"5-0.5";;;;;
18.2;9600;15.8;1;1.92;0.016;0.868131868;2.9;0.16;0.159340659;"5-0.5";;;;;
18.2;9500;15.8;1;1.9;0.018;0.868131868;3.22;0.18;0.176923077;"5-0.5";;;;;
18.2;9400;15.8;1;1.88;0.002;0.868131868;3.54;0.02;0.194505495;"5-0.5";;;;;
18.2;9300;15.8;1;1.86;0.02;0.868131868;3.96;0.2;0.217582418;"5-1";;;;;
18.2;9200;15.8;1;1.84;0.02;0.868131868;4.32;0.2;0.237362637;"5-1";;;;;
18.1;9000;15.6;1;1.8;0.02;0.861878453;5;0.2;0.276243094;"5-1";;;;;
18;8000;14.8;1;1.6;0.04;0.822222222;8.8;0.4;0.488888889;"5-2";;;;;
19.2;7000;13.2;1;1.4;0.004;0.6875;12;0.04;0.625;"5-2";;;;;
20.8;2000;4.2;1;0.4;0.1;0.201923077;20.4;1;0.980769231;"5-5";;;;;
20.4;500;1.2;1;0.1;0.1;0.058823529;20.2;1;0.990196078;"5-5";;;;;
20.2;100;0.4;1;0.02;0.1;0.01980198;20.2;1;1;"5-5";;;;;
20.6;3000;6;1;0.6;0.1;0.291262136;19.8;1;0.961165049;"5-5";;;;;
20.4;4000;7.6;1;0.8;0.1;0.37254902;19;1;0.931372549;"5-5";;;;;
20;5000;9.6;1;1;0.1;0.48;17.8;1;0.89;"5-5";;;;;
19.6;6000;11.6;1;1.2;0.1;0.591836735;15.6;1;0.795918367;"5-5";;;;;
20.8;1500;3.6;1;0.3;0.1;0.173076923;20.4;1;0.980769231;"5-5";;;;;
21;1000;2.6;1;0.2;0.1;0.123809524;20.6;1;0.980952381;"5-5";;;;;
20.4;300;0.8;1;0.06;0.1;0.039215686;20.2;1;0.990196078;"5-5";;;;;
20.2;200;0.4;1;0.04;0.1;0.01980198;20.2;1;1;"5-5";;;;;
20.4;250000;2;1;50;0.1;0.098039216;20.2;1;0.990196078;"5-5";;;;;
20.4;300000;2;1;60;0.1;0.098039216;20.2;1;0.990196078;"5-5";;;;;
18.8;7500;14.4;1;1.5;0.1;0.765957447;11.2;1;0.595744681;"5-5";;;;;
18.9;14000;13.3;1;2.8;0.1;0.703703704;11.2;1;0.592592593;"5-5";;;;;
19.4;6700;13.2;1;1.34;0.1;0.680412371;14;1;0.721649485;"5-5";;;;;
20.4;65000;3.6;1;13;0.1;0.176470588;19.7;1;0.965686275;"5-5";;;;;