Vin;f;Vout;Vin_err;f_err;Vout_err;Vo/Vi;Scala;Vin;f;Vout;Vin_err;f_err;Vout_err;Vo/Vi;Scala
20;50;19.9;1;0.01;1;0.995;"5-5";20;50;0.426;1;0.01;0.01;0.0213;"5-0.05"
20;63;19.8;1;0.0126;1;0.99;"5-5";20;63;0.504;1;0.0126;0.02;0.0252;"5-0.1"
20.2;80;20.1;1;0.016;1;0.995049505;"5-5";20;80;0.628;1;0.016;0.02;0.0314;"5-0.1"
20.2;100;20.1;1;0.02;1;0.995049505;"5-5";20.2;100;0.716;1;0.02;0.02;0.035445545;"5-0.1"
20.2;125;20.1;1;0.025;1;0.995049505;"5-5";20.2;125;0.912;1;0.025;0.04;0.045148515;"5-0.2"
20.2;160;20.1;1;0.032;1;0.995049505;"5-5";20.2;160;1.06;1;0.032;0.04;0.052475248;"5-0.2"
20.2;200;20.1;1;0.04;1;0.995049505;"5-5";20.2;200;1.33;1;0.04;0.04;0.065841584;"5-0.2"
20.2;250;20.1;1;0.05;1;0.995049505;"5-5";20.2;250;1.64;1;0.05;0.04;0.081188119;"5-0.2"
20.2;315;20;1;0.063;1;0.99009901;"5-5";20.2;315;2.06;1;0.063;0.04;0.101980198;"5-0.2"
20.2;400;19.9;1;0.08;1;0.985148515;"5-5";20.2;400;2.52;1;0.08;0.04;0.124752475;"5-0.2"
20.2;500;19.8;1;0.1;1;0.98019802;"5-5";20.2;500;3.2;1;0.1;0.1;0.158415842;"5-0.5"
20.2;630;19.8;1;0.126;1;0.98019802;"5-5";20.2;630;3.93;1;0.126;0.1;0.194554455;"5-0.5"
20.8;800;20.2;1;0.16;1;0.971153846;"5-5";20.2;800;4.88;1;0.16;0.2;0.241584158;"5-1"
20.8;1000;19.6;1;0.2;1;0.942307692;"5-5";20.2;1000;5.98;1;0.2;0.2;0.296039604;"5-1"
20.8;1250;19.1;1;0.25;1;0.918269231;"5-5";20.2;1250;7.2;1;0.25;0.2;0.356435644;"5-1"
20.8;1600;18.3;1;0.32;1;0.879807692;"5-5";20.1;1600;8.85;1;0.32;0.4;0.440298507;"5-2"
20.8;1800;17.8;1;0.36;1;0.855769231;"5-5";20.1;1800;9.68;1;0.36;0.4;0.48159204;"5-2"
20.8;2000;17.4;1;0.4;1;0.836538462;"5-5";20.8;2000;10.6;1;0.4;0.4;0.509615385;"5-2"
20.5;2200;17;1;0.44;1;0.829268293;"5-5";20.7;2200;11.4;1;0.44;0.4;0.550724638;"5-2"
20.5;2400;16.5;1;0.48;1;0.804878049;"5-5";20.6;2400;12;1;0.48;0.4;0.582524272;"5-2"
20.5;2600;15.9;1;0.52;1;0.775609756;"5-5";20.7;2600;12.5;1;0.52;0.4;0.603864734;"5-2"
20.6;2800;15.5;1;0.56;1;0.752427184;"5-5";20.7;2800;13;1;0.56;0.4;0.628019324;"5-2"
20.5;3000;15.1;1;0.6;1;0.736585366;"5-5";20.4;3000;13.6;1;0.6;0.4;0.666666667;"5-2"
20.5;3200;14.5;1;0.64;1;0.707317073;"5-5";20.6;3200;13.9;1;0.64;0.4;0.674757282;"5-2"
20.5;3400;14.1;1;0.68;1;0.687804878;"5-5";20.4;3400;14.4;1;0.68;0.4;0.705882353;"5-2"
20.5;3600;13.7;1;0.72;1;0.668292683;"5-5";20.4;3600;14.6;1;0.72;0.4;0.715686275;"5-2"
20.5;3800;13.1;1;0.76;1;0.63902439;"5-5";20.4;3800;15;1;0.76;0.4;0.735294118;"5-2"
20.5;4000;12.9;1;0.8;0.4;0.629268293;"5-5";20.6;4000;15.2;1;0.8;0.4;0.737864078;"5-2"
20.3;4500;11.5;1;0.9;0.4;0.566502463;"5-2";20.5;4500;15.8;1;0.9;0.4;0.770731707;"5-2"
20.4;5000;10.6;1;1;0.4;0.519607843;"5-2";20.4;5000;17;1;1;1;0.833333333;"5-5"
20.3;6300;9.04;1;1.26;0.4;0.445320197;"5-2";20.4;6300;17.9;1;1.26;1;0.87745098;"5-5"
20.2;7500;7.92;1;1.5;0.4;0.392079208;"5-2";20.3;7500;18.4;1;1.5;1;0.906403941;"5-5"
20.3;8000;7.4;1;1.6;0.4;0.36453202;"5-2";20.4;8000;18.5;1;1.6;1;0.906862745;"5-5"
20.1;10000;6.04;1;2;0.2;0.300497512;"5-1";20.3;10000;19;1;2;1;0.935960591;"5-5"
20.1;12500;4.98;1;2.5;0.2;0.247761194;"5-2";20.3;12500;19.2;1;2.5;1;0.945812808;"5-5"
20;16000;3.88;1;3.2;0.1;0.194;"5-0.5";20.2;16000;19.4;1;3.2;1;0.96039604;"5-5"
20;20000;3.16;1;4;0.1;0.158;"5-0.06";20.2;20000;19.6;1;4;1;0.97029703;"5-5"
20;25000;2.55;1;5;0.1;0.1275;"5-0.07";20.2;25000;19.8;1;5;1;0.98019802;"5-5"
20;32000;2.01;1;6.4;0.1;0.1005;"5-0.8";20.1;32000;19.8;1;6.4;1;0.985074627;"5-5"
19.9;45000;1.42;1;9;0.04;0.071356784;"5-0.2";20;45000;19.8;1;9;1;0.99;"5-5"
19.8;55000;1.18;1;11;0.04;0.05959596;"5-0.2";20;55000;19.8;1;11;1;0.99;"5-5"
19.6;75000;0.87;1;15;0.04;0.044387755;"5-0.2";20;75000;19.6;1;15;1;0.98;"5-5"
19.6;100000;0.64;1;20;0.02;0.032653061;"5-0.1";19.6;100000;19.4;1;20;1;0.989795918;"5-5"
19.5;250000;0.26;1;50;0.01;0.013333333;"5-0.05";19.8;250000;19.6;1;50;1;0.98989899;"5-5"
19.6;500000;0.138;1;100;0.004;0.007040816;"5-0.02";19.8;500000;19.6;1;100;1;0.98989899;"5-5"
