PSU (V);V (mV);V_err (V);I (mA);I_err (mA)
0.2;277.7;0.7777;0.00047;0.00010235
0.3;344.3;0.8443;0.0024;0.000112
0.4;428.1;0.9281;0.02849;0.00024245
0.5;455.7;0.9557;0.06618;0.0004309
0.6;471.6;0.9716;0.1307;0.0011535
1;508.7;1.0087;0.3305;0.0021525
1.5;528.8;1.0288;0.5305;0.0031525
2;544.3;1.0443;0.7788;0.004394
2.5;580.1;1.0801;1.917;0.014585
3;590.3;1.0903;2.465;0.017325
3.5;597.2;1.0972;2.911;0.019555
4;600.5;1.1005;3.443;0.022215
4.5;605.9;1.1059;3.888;0.02444
5;611.5;1.1115;4.42;0.0271
5.5;615.5;1.1155;4.852;0.02926
6;619.7;1.1197;5.37;0.03185
6.5;623.3;1.1233;5.829;0.034145
7;626.6;1.1266;6;0.036385
7.5;629.9;1.1299;6.787;0.038935
8;632.9;1.1329;7.297;0.041485
8.5;635.5;1.1355;7.733;0.043665
9;638.3;1.1383;8.259;0.046295
9.5;640.7;1.1407;8.754;0.04877
10;642.8;1.1428;9.216;0.05108
10.5;645.1;1.1451;9.684;0.05342
11;647.2;1.1472;10.17;0.10085
11.5;648.9;1.1489;10.67;0.10335
12;650.9;1.1509;11.17;0.10585
14;657.6;1.1576;13.1;0.1155
16;663.5;1.1635;15.11;0.12555
18;666.9;1.1669;17.02;0.1351
19;670.9;1.1709;18.03;0.14015