p [m];p_err [m];q [m];q_inv [m];BICONCAVA
0.640;0.005;1.139;0;
0.640;0.005;1.132;0;
0.640;0.005;1.139;0;
0.640;0.005;1.141;0;
0.570;0.005;1.276;0;
0.570;0.005;1.275;0;
0.570;0.005;1.277;0;
0.570;0.005;1.283;0;
0.690;0.005;1.123;0;
0.690;0.005;1.129;0;
0.690;0.005;1.127;0;
0.690;0.005;1.126;0;
0.600;0.005;1.187;0;
0.600;0.005;1.194;0;
0.600;0.005;1.195;0;
0.600;0.005;1.192;0;
0.670;0.005;1.124;0;
0.670;0.005;1.127;0;
0.670;0.005;1.125;0;
0.670;0.005;1.129;0;
0.620;0.005;1.160;0;
0.620;0.005;1.155;0;
0.620;0.005;1.163;0;
0.620;0.005;1.162;0;
0.550;0.005;1.402;0;
0.550;0.005;1.394;0;
0.550;0.005;1.394;0;
0.550;0.005;1.394;0;
0.620;0.005;1.163;0;
0.620;0.005;1.160;0;
0.620;0.005;1.159;0;
0.620;0.005;1.158;0;
0.620;0.005;1.163;0;
0.620;0.005;1.166;0;
0.620;0.005;1.165;0;
0.620;0.005;1.165;0;
0.620;0.005;1.167;0;
0.620;0.005;1.158;0;
0.620;0.005;1.161;0;
0.620;0.005;1.157;0;
0.620;0.005;1.164;0;
0.620;0.005;1.158;0;
0.620;0.005;1.161;0;
0.620;0.005;1.162;0;
0.620;0.005;1.163;0;
0.620;0.005;1.164;0;
0.620;0.005;1.165;0;
0.620;0.005;1.159;0;
0.620;0.005;1.160;0;
0.620;0.005;1.162;0;
0.620;0.005;1.159;0;
0.620;0.005;1.160;0;
0.620;0.005;1.161;0;
0.620;0.005;1.157;0;
0.620;0.005;1.158;0;
0.620;0.005;1.161;0;
0.620;0.005;1.161;0;
0.620;0.005;1.157;0;
0.620;0.005;1.160;0;