p [m];p_err [m];q [m];q_inv [m];BICONVESSA
0.490;0.003;0.962;0.965;
0.490;0.003;0.965;0.962;
0.490;0.003;0.963;0.967;
0.490;0.003;0.964;0.966;
0.490;0.003;0.964;0.968;
0.490;0.003;0.962;0.966;
0.490;0.003;0.967;0.965;
0.490;0.003;0.966;0.964;
0.490;0.003;0.969;0.967;
0.490;0.003;0.968;0.964;
0.490;0.003;0.966;0.968;
0.490;0.003;0.964;0.964;
0.490;0.003;0.968;0.964;
0.490;0.003;0.966;0.963;
0.490;0.003;0.960;0.966;
0.490;0.003;0.964;0.964;
0.490;0.003;0.962;0.963;
0.490;0.003;0.963;0.965;
0.490;0.003;0.967;0.964;
0.490;0.003;0.964;0.967;
0.490;0.003;0.965;0.963;
0.490;0.003;0.956;0.964;
0.490;0.003;0.966;0.965;
0.490;0.003;0.960;0.962;
0.490;0.003;0.965;0.963;
0.490;0.003;0.969;0.968;
0.490;0.003;0.961;0.964;
0.490;0.003;0.964;0.963;
0.490;0.003;0.967;0.963;
0.490;0.003;0.962;0.967;
0.530;0.003;0.894;0.893;
0.530;0.003;0.893;0.892;
0.530;0.003;0.895;0.891;
0.530;0.003;0.890;0.895;
0.530;0.003;0.894;0.894;
0.530;0.003;0.899;0.893;
0.530;0.003;0.895;0.895;
0.530;0.003;0.892;0.892;
0.530;0.003;0.891;0.891;
0.530;0.003;0.892;0.892;
0.530;0.003;0.894;0.892;
0.530;0.003;0.892;0.896;
0.530;0.003;0.892;0.894;
0.530;0.003;0.893;0.894;
0.530;0.003;0.894;0.893;
0.530;0.003;0.891;0.892;
0.530;0.003;0.893;0.895;
0.530;0.003;0.891;0.897;
0.530;0.003;0.894;0.896;
0.530;0.003;0.893;0.891;
0.530;0.003;0.894;0.895;
0.530;0.003;0.891;0.891;
0.530;0.003;0.894;0.891;
0.530;0.003;0.891;0.892;
0.530;0.003;0.893;0.895;
0.530;0.003;0.892;0.893;
0.530;0.003;0.893;0.894;
0.530;0.003;0.892;0.893;
0.530;0.003;0.892;0.892;
0.530;0.003;0.891;0.894;
0.510;0.003;0.916;0;
0.510;0.003;0.917;0;
0.510;0.003;0.914;0;
0.470;0.003;1.067;0;
0.470;0.003;1.072;0;
0.470;0.003;1.064;0;
0.470;0.003;1.071;0;
0.550;0.003;0.880;0;
0.550;0.003;0.882;0;
0.550;0.003;0.883;0;
0.550;0.003;0.882;0;
0.500;0.003;0.932;0;
0.500;0.003;0.932;0;
0.500;0.003;0.933;0;
0.500;0.003;0.933;0;
0.480;0.003;1.004;0;
0.480;0.003;1.001;0;
0.480;0.003;1.002;0;
0.480;0.003;1.004;0;