644;;;;470;;;;430;;;;540;;;;612;;;
mV;Verr;nA;Ierr;mV;Verr;nA;Ierr;mV;Verr;nA;Ierr;mV;Verr;nA;Ierr;mv;Verr;nA;Ierr
-2.5;0.5025;10.226;0.041904;-2.5;0.5025;99.545;0.20909;-2;0.502;17.34;0.07036;-2.5;0.5025;33.477;0.134908;-1.9;0.5019;11.845;0.04838
-167.3;0.6673;4.921;0.020684;-257.8;0.7578;60.777;0.131554;-328.5;0.8285;9.875;0.0405;-126;0.626;24.716;0.099864;-204.2;0.7042;5.385;0.02254
-250.8;0.7508;3.0448;0.0131792;-802.2;1.3022;9.1473;0.0375892;-658;1.158;4.262;0.018048;-410;0.91;9.138;0.037552;-400.4;0.9004;1.7299;0.0073196
-404;0.904;0.8621;0.0038484;-1009;1.509;2.924;0.012696;-811.6;1.3116;2.505;0.01102;-544.9;1.0449;4.8;0.0202;-602.7;11.027;0.1932;0.0011728
-452;0.952;0.476;0.002304;-1097;1.597;1.2014;0.0052056;-957.9;1.4579;1.3888;0.0059552;-653.8;1.1538;2.579;0.011316;-801.9;13.019;-0.0086;0.0003656
-543;1.043;0.0904;0.0007616;-1202;1.702;0.2461;0.0013844;-1170;1.67;0.4554;0.0022216;-842.7;13.427;0.4642;0.0022568;-754.4;12.544;0.001;0.000404
-598.9;1.0989;0.017;0.000468;-1254;1.754;0.0789;0.0007156;-1255;1.755;0.2317;0.0013268;-908.5;1.4085;0.1622;0.0010488;-704.7;12.047;0.0163;0.0004652
-648.1;1.1481;-0.0042;0.0003832;-1319;1.819;-0.0294;0.0002824;-1355;1.855;0.0818;0.0007272;-971.7;1.4717;0.0396;0.0005584;-653.9;11.539;0.0624;0.0006496
-707;1.207;-0.0145;0.000342;-1405;1.905;-0.0936;0.0000256;-1407;1.907;0.0403;0.0005612;-1022;1.522;-0.0033;0.0003868;-902.5;14.025;-0.0169;0.0003324
-757.3;1.2573;-0.0185;0.000326;-1471;1.971;-0.1269;-0.0001076;-1456;1.956;0.0149;0.0004596;-986;1.486;0.0239;0.0004956;-1006;1.506;-0.0222;0.0003112
-853.2;1.3532;-0.0226;0.0003096;-1264;1.764;0.0572;0.0006288;-1526;2.026;-0.00774;0.00036904;-1096;1.596;-0.0355;0.000258;-1203;1.703;-0.0232;0.0003072
-955.7;1.4557;-0.0247;0.0003012;-1305;1.805;-0.0102;0.0003592;-1628;2.128;-0.02553;0.00029788;-1125;1.625;-0.0428;0.0002288;-127;0.6267;7.52;0.03048
-1251;1.751;-0.0247;0.0003012;-1348;1.848;-0.0551;0.0001796;-1747;2.247;-0.0365;0.000254;-1207;1.707;-0.05922;0.00016312;-332.3;0.8323;2.682;0.011128
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;